0,1571.0
1,2106.0
2,1436.0
3,2571.0
4,2425.0
5,2367.0
6,2009.0
7,2202.0
8,3154.0
9,2114.0
10,1969.0
11,4123.0
12,1863.0
13,1717.0
14,2386.0
15,3269.0
16,1921.0
17,2697.0
18,2939.0
19,3348.0
20,3260.0
21,3037.0
22,2552.0
23,4860.0
24,2135.0
25,1960.0
26,2271.0
27,2328.0
28,1891.0
29,2435.0
30,2502.0
31,2853.0
32,1871.0
33,1407.0
34,2088.0
35,4434.0
36,3163.0
37,1824.0
38,1815.0
39,2008.0
40,1737.0
41,1930.0
42,1455.0
43,1951.0
44,1698.0
45,1582.0
46,1814.0
47,1960.0
48,1271.0
49,815.0
50,1135.0
51,1038.0
52,777.0
53,1155.0
54,1659.0
55,1640.0
56,923.0
57,904.0
58,2105.0
59,727.0
60,486.0
61,785.0
62,562.0
63,748.0
64,612.0
65,786.0
66,679.0
67,941.0
